store,file,status,sku,brand,model,size,ean,conf,productName,error
parahyba,00003005-PHOTO-2026-02-15-14-00-14.jpg,MATCH_NAME,0226-7909131474991,TOPPER,DOMINATOR FUSE II KEEPER FSAL,40,7894754750289,0.92,CHUTEIRA TP08090001 TOPPER DOMINATOR FUSE II KEEPER FSAL ROS,
parahyba,00003006-PHOTO-2026-02-15-14-00-15.jpg,MATCH_NAME,0226-7909131419336,TOPPER,DOMINATOR PRO V F SAL,41,7909131352537,0.95,CHUTEIRA TP05080006 TOPPER DOMINATOR PRO V FSAL BRANCO/CINZA,
parahyba,00003007-PHOTO-2026-02-15-14-00-15.jpg,MATCH_NAME,0226-7909131382784,TOPPER,LETRA IV FSAL,41,2621401603,0.95,CHUTEIRA TP04980005 TOPPER LETRA IV FSAL VERDE/BRANCO/AZUL,
parahyba,00003008-PHOTO-2026-02-15-14-00-17.jpg,MATCH_NAME,0226-7909131382784,TOPPER,LETRA IV FSAL,41,9091313828821,0.95,CHUTEIRA TP04980005 TOPPER LETRA IV FSAL VERDE/BRANCO/AZUL,
parahyba,00003009-PHOTO-2026-02-15-14-00-17.jpg,MATCH_NAME,0226-7909131392998,TOPPER,MAESTRO CLUB V FS AL,41,7895214018034,0.95,CHUTEIRA TP05290001 TOPPER MAESTRO CLUB V SCTY PRETO/BRANCO/,
parahyba,00003010-PHOTO-2026-02-15-14-00-17.jpg,MATCH_NAME,0226-7909131419336,TOPPER,DOMINATOR PRO V F SAL,40,7920913394605,0.95,CHUTEIRA TP05080006 TOPPER DOMINATOR PRO V FSAL BRANCO/CINZA,
parahyba,00003011-PHOTO-2026-02-15-14-00-17.jpg,MATCH_NAME,0226-7909131419336,TOPPER,DOMINATOR PRO V F SAL,41,7891135500979,0.95,CHUTEIRA TP05080006 TOPPER DOMINATOR PRO V FSAL BRANCO/CINZA,
parahyba,00003012-PHOTO-2026-02-15-14-00-19.jpg,MATCH_NAME,0226-7909131320656,TOPPER,DOMINATOR FUSE FS AL,38,7891131391977,0.95,CHUTEIRA TP04360002 TOPPER DOMINATOR FUSE FSAL AMARELO FLUOR,
parahyba,00003013-PHOTO-2026-02-15-14-00-19.jpg,MATCH_NAME,0226-7909131320656,TOPPER,DOMINATOR FUSE FS AL,40,7590911392071,0.95,CHUTEIRA TP04360002 TOPPER DOMINATOR FUSE FSAL AMARELO FLUOR,
parahyba,00003014-PHOTO-2026-02-15-14-00-19.jpg,MATCH_NAME,0226-7909131320656,TOPPER,DOMINATOR FUSE II FSAL,41,7899751437576,0.95,CHUTEIRA TP04360002 TOPPER DOMINATOR FUSE FSAL AMARELO FLUOR,
piramide,00003005-PHOTO-2026-04-20-19-17-15.jpg,NO_MATCH,,CONVERSE,,20,3403213,0.65,,
piramide,00003006-PHOTO-2026-04-20-19-17-15.jpg,MATCH_NAME,0750-7909175445179,CONVERSE,ALL STAR,28,5901750246533,0.85,Tênis Converse Chuck Taylor All Star Branco/Marinho,
piramide,00003007-PHOTO-2026-04-20-19-17-15.jpg,MATCH_NAME,0750-7909175445179,CONVERSE,CHUCK TAYLOR ALL STAR,35,0886955164291,0.85,Tênis Converse Chuck Taylor All Star Branco/Marinho,
piramide,00003008-PHOTO-2026-04-20-19-17-16.jpg,NO_MATCH,,CONVERSE,,29,8903491820185,0.7,,
piramide,00003009-PHOTO-2026-04-20-19-17-16.jpg,NO_MATCH,,CONVERSE,,28,5051495363978,0.75,,
piramide,00003010-PHOTO-2026-04-20-19-17-16.jpg,MATCH_NAME,0750-7909175445179,CONVERSE,CHUCK TAYLOR,28,0886955393020,0.85,Tênis Converse Chuck Taylor All Star Branco/Marinho,
piramide,00003011-PHOTO-2026-04-20-19-17-16.jpg,MATCH_NAME,0750-7909175445179,CONVERSE,CHUCK TAYLOR ALL STAR,27,0012500002,0.75,Tênis Converse Chuck Taylor All Star Branco/Marinho,
piramide,00003012-PHOTO-2026-04-20-19-17-16.jpg,MATCH_NAME,0750-7895491262135,CONVERSE,STAR PLAYER 76 3V,33,8954913169093,0.95,Tênis Converse Star Player Preto/Branco,
piramide,00003013-PHOTO-2026-04-20-19-17-17.jpg,MATCH_NAME,0750-7895491262135,CONVERSE,STAR PLAYER 76 3V,29,8954913194952,0.85,Tênis Converse Star Player Preto/Branco,
piramide,00003014-PHOTO-2026-04-20-19-17-17.jpg,MATCH_NAME,0750-7909175445179,CONVERSE,CHUCK TAYLOR ALL STAR,26,0895491389092,0.85,Tênis Converse Chuck Taylor All Star Branco/Marinho,
