action,sku,name,ean,originalSku,originalBrand,error
WOULD_DELETE,0126-7908578649108,DIADORA DFAR008-01 STRATUS II PRETO/PRATA/VERMELHO,7908578649108,0182-7908578649108,A DEFINIR,
WOULD_DELETE,0126-7908578653129,DIADORA DFAR020-01 GIOVE PRETO/CINZA/AMARELO NEON,7908578653129,0182-7908578653112,A DEFINIR,
WOULD_DELETE,0126-7908578637334,DIADORA DFSC076-02 SFORZA BRANCO/PRETO,7908578637334,0182-7908578637303,A DEFINIR,
WOULD_DELETE,0126-7908578637372,DIADORA DFSC076-03 SFORZA AREIA/MARROM,7908578637372,0182-7908578637372,A DEFINIR,
WOULD_DELETE,0126-7908578637495,DIADORA DFSC076-04 SFORZA AZUL/BRANCO,7908578637495,0182-7908578637495,A DEFINIR,
WOULD_DELETE,0126-7908578638539,DIADORA DFSC081-01 CENTRALE BRANCO/BRANCO,7908578638539,0182-7908578638539,A DEFINIR,
WOULD_DELETE,0126-7908578649214,DIADORA DFAR008-02 STRATUS II BRANCO/PRETO/DOURADO,7908578649214,0182-7908578649214,A DEFINIR,
WOULD_DELETE,0126-7908578649528,DIADORA DFAR008-04 STRATUS II VERDE MILITAR/PRETO/DOURADO,7908578649528,0182-7908578649528,A DEFINIR,
WOULD_DELETE,0126-7908578653198,DIADORA DFAR020-02 GIOVE AZUL/AMARELO NEON/BRANCO,7908578653198,0182-7908578653198,A DEFINIR,
WOULD_DELETE,0126-7908578653426,DIADORA DFAR020-05 GIOVE LILAS/ROXO/CORAL,7908578653426,0182-7908578653426,A DEFINIR,
WOULD_DELETE,0126-7908578668901,DIADORA DFAR030-01 VULCANO II MARINHO/BRANCO/AMARELO NEON,7908578668901,0182-7908578668901,A DEFINIR,
WOULD_DELETE,0126-7908578669069,DIADORA DFAR030-03 VULCANO II BRANCO/LARANJA/PRETO,7908578669069,0182-7908578669069,A DEFINIR,
WOULD_DELETE,0126-7908578669274,DIADORA DFAR030-05 VULCANO II ROXO/LILAS/AZUL,7908578669274,0182-7908578669274,A DEFINIR,
WOULD_DELETE,0126-7908578677026,DIADORA DFAR030-06 VULCANO II AZUL/LILAS/ROSA,7908578677026,0182-7908578677026,A DEFINIR,
WOULD_DELETE,0126-7908578697260,DIADORA DFAR055-02 LEGGENDA PRETO/CINZA/BRANCO,7908578697260,0182-7908578697260,A DEFINIR,
WOULD_DELETE,0126-7908578685519,DIADORA DFAR098-02 ILLUSIONE PRETO/BRANCO,7908578685519,0182-7908578685519,A DEFINIR,
WOULD_DELETE,0126-7908578685731,DIADORA DFAR098-04 ILLUSIONE CHUMBO/PRATA,7908578685731,0182-7908578685731,A DEFINIR,
WOULD_DELETE,0126-7908578685939,DIADORA DFAR099-02 SAGA PRETO/VERMELHO,7908578685939,0182-7908578685939,A DEFINIR,
WOULD_DELETE,0126-7908578686516,DIADORA DFSC056-02 MONZA VINHO/BRANCO,7908578686516,0182-7908578686516,A DEFINIR,
WOULD_DELETE,0126-7908578686660,DIADORA DFSC056-04 MONZA AREIA/PRETO,7908578686660,0182-7908578686660,A DEFINIR,
WOULD_DELETE,0126-7908578687131,DIADORA DFSC057-05 MODENA BRANCO/BRANCO,7908578687131,0182-7908578687131,A DEFINIR,
WOULD_DELETE,0126-7908578687230,DIADORA DFSC058-01 MARINO MARINHO/BRANCO,7908578687230,0182-7908578687230,A DEFINIR,
WOULD_DELETE,0126-7908578687513,DIADORA DFSC058-04 MARINO PRETO/CHUMBO,7908578687513,0182-7908578687513,A DEFINIR,
WOULD_DELETE,0126-7908937812228,DIADORA DFSC066-01 ESSENZIALE PRETO/PRETO,7908937812228,0182-7908937812228,A DEFINIR,
WOULD_DELETE,0126-7908937812334,DIADORA DFSC066-02 ESSENZIALE MARINHO/BRANCO,7908937812334,0182-7908937812334,A DEFINIR,
WOULD_DELETE,0126-7908578637181,DIADORA DFSC076-01 SFORZA PRETO/CHUMBO/CARAMELO,7908578637181,0182-7908578637181,A DEFINIR,
WOULD_DELETE,0126-7908578639284,DIADORA DFSC082-06 PLAYMAKER BRANCO/LILAS,7908578639284,0182-7908578639284,A DEFINIR,
WOULD_DELETE,0126-7908578696591,DIADORA DFSC082-07 PLAYMAKER BRANCO/PRETO/PRETO,7908578696591,0182-7908578696591,A DEFINIR,
WOULD_DELETE,0126-7893659971042,TENIS OLYMPIKUS MESCLA PTO/CH,7893659971042,0102-7894756415941,A DEFINIR,
WOULD_DELETE,0126-7894756190138,TENIS OLYMPIKUS COSMO GRAFIT,7894756190138,0102-7894756190138,A DEFINIR,
WOULD_DELETE,0126-7892841704536,TENIS 274/JOGGING 100 BRANCO,7892841704536,0102-7892841704482,A DEFINIR,
WOULD_DELETE,0126-7892841704628,TENIS 274/JOGGING 100 PRETO,7892841704628,0102-7892841704628,A DEFINIR,
WOULD_DELETE,0126-7894756489942,TENIS OLYMPIKUS COSMO PTRLEO,7894756489942,0102-7894756489942,A DEFINIR,
WOULD_DELETE,0126-7894929305840,TENIS CALCADOS ESPORTIVO MIZ WAVE STRATOS 3 MARINO,7894929305840,0117-7894929305840,A DEFINIR,
WOULD_DELETE,0126-7894929305536,TENIS CALCADOS ESPORTIVO MIZ WAVE STRATOS 3 ARENIT,7894929305666,0117-7894929305536,A DEFINIR,
KEEP_NO_EAN,0126-3548,TENIS UA UA CH.WING 2 DGRPGU,,,,
